episode,seed,terminated,truncated,illegal_count,no_task_count,delta_t_norm_p50,delta_t_norm_p90,delta_t_norm_p95,delta_phi_p50,delta_phi_p90,delta_phi_p95,r_base_mean,r_base_p95,r_shape_mean,r_shape_p95,r_illegal_mean,r_term_mean,r_energy_mean,r_total_mean,r_total_p95,r_base_clip_ratio,r_shape_clip_ratio,r_total_clip_ratio,rsu_mismatch_count,rsu_mismatch_ratio
1,42,False,True,0,3880,0.0,0.0,0.0,0.0,0.005116947352380996,0.010128624761904792,0.016005695332029158,0.0,0.0006216290512857145,0.0010128624761904792,0.0,0.135,0.0,0.1516273243833149,0.0011555337699047632,0.003,0.0,0.0,13,1.0
2,43,False,True,1,3875,0.0,0.0,0.0,0.0,0.004110816000000017,0.009485551695238126,0.012906784240900894,0.0,0.0005876302125447622,0.0009485551695238126,-0.0005,0.1375,0.0,0.15049441445344566,0.001270098323809532,0.00175,0.0,0.0,19,1.0
3,44,False,True,0,3883,0.0,0.0,0.0,0.0,0.005880637561904822,0.010241047268571524,0.018341416891250063,0.0,0.0006667784318704764,0.0010241047268571524,0.0,0.125,0.0,0.14400819532312054,0.0013231272838095222,0.00525,0.0,0.0,17,1.0
4,45,False,True,0,3882,0.0,0.0,0.0,0.0,0.0038770931809523623,0.009097596064761895,0.015583866845462762,0.0,0.0006126496834104765,0.0009097596064761896,0.0,0.15,0.0,0.16619651652887324,0.0011251116495238024,0.003,0.0,0.0,17,1.0
5,46,False,True,0,3861,0.0,0.0,0.0,0.0,0.004592866285714314,0.009768200761904766,0.014552788947411592,0.0,0.000614796571932381,0.0009768200761904767,0.0,0.15,0.0,0.16516758551934396,0.0012999004495238165,0.002,0.0,0.0,15,1.0
6,47,False,True,0,3874,0.0,0.0,0.0,0.0,0.004070828114285718,0.009833443291428557,0.014836381960873928,0.0,0.0006453598742457145,0.0009833443291428557,0.0,0.1125,0.0,0.12798174183511965,0.001248591299047619,0.00375,0.0,0.0,17,1.0
7,48,False,True,0,3864,0.0,0.0,0.0,0.0,0.003909303771428563,0.009087458232380972,0.016861048479220906,0.0,0.0005999459893752382,0.0009087458232380971,0.0,0.145,0.0,0.16246099446859613,0.00395376147847618,0.004,0.0,0.0,19,1.0
8,49,False,True,0,3882,0.0,0.0,0.0,0.0,0.004798959847619078,0.010182557866666775,0.014402746083022099,0.0,0.000662077532429524,0.0010182557866666776,0.0,0.1125,0.0,0.1275648236154516,0.0012230727161904875,0.00225,0.0,0.0,14,1.0
9,50,False,True,0,3874,0.0,0.0,0.0,0.0,0.0054742232380952105,0.010644667200000013,0.015985945804736012,0.0,0.0006483972841314288,0.0010644667200000013,0.0,0.15,0.0,0.16663434308886743,0.0012780980476190325,0.003,0.0,0.0,25,1.0
10,51,False,True,0,3880,0.0,0.0,0.0,0.0,0.00492250727619048,0.009982480761904777,0.018447061621324177,0.0,0.0006480592082647623,0.0009982480761904777,0.0,0.1025,0.0,0.12159512082958894,0.0013387875047619069,0.00375,0.0,0.0,26,1.0
