episode,step,cft_prev_abs,cft_curr_abs,cft_prev_rem,cft_curr_rem,delta_cft_rem,reward_mean,dec_local,dec_rsu,dec_v2v
0,0,0.38473570346832275,0.46275684237480164,0.38473570346832275,0.36275684237480166,0.057127167807369164,0.4294425838255478,2,2,8
0,1,0.4577864408493042,0.5007542371749878,0.3577864408493042,0.3007542371749878,0.15940292074494178,0.5277181418321081,2,3,7
0,2,0.5020598769187927,0.598099410533905,0.3020598769187927,0.298099410533905,0.013111527506688616,0.018665924080604145,3,1,8
0,3,0.5972693562507629,0.6975252628326416,0.2972693562507629,0.2975252628326416,-0.0008608575909277819,0.006202940052950295,0,1,11
0,4,0.698157012462616,0.7973163723945618,0.29815701246261594,0.29731637239456177,0.002819454290579799,-0.006431794217174435,1,3,8
0,5,0.7972526550292969,0.8976696133613586,0.2972526550292969,0.29766961336135866,-0.0014027068388024822,0.0015241531057196814,0,0,12
0,6,0.8977468609809875,1.0167080163955688,0.29774686098098757,0.3167080163955689,-0.06368213371623781,-0.009427767482520942,0,1,11
0,7,0.997054398059845,1.0986226797103882,0.297054398059845,0.29862267971038825,-0.005279442623257464,0.00012281055132123465,0,2,10
0,8,1.0973981618881226,1.1980215311050415,0.2973981618881226,0.2980215311050416,-0.0020960762264343484,0.01066171059567929,1,1,10
0,9,1.1975034475326538,1.298201560974121,0.2975034475326539,0.2982015609741212,-0.0023465726103583475,-0.0024700117859208083,0,2,10
1,0,0.3654418885707855,0.4909372627735138,0.3654418885707855,0.3909372627735138,-0.06976587796883027,-0.30826149844046385,1,1,10
1,1,0.49885594844818115,0.5205536484718323,0.3988559484481812,0.32055364847183226,0.19631724255585933,-3.87201023630073,2,1,9
1,2,0.5080004334449768,0.5998424887657166,0.3080004334449768,0.2998424887657165,0.026486796099647943,0.5762909965232739,0,1,11
1,3,0.5980831980705261,0.7001090049743652,0.2980831980705261,0.3001090049743652,-0.006796112350350691,-0.011351581666069732,0,0,12
1,4,0.6959798336029053,0.7957517504692078,0.29597983360290525,0.29575175046920776,0.0007706036283657427,0.0013922687886548347,1,1,10
1,5,0.7958335876464844,0.8954829573631287,0.2958335876464844,0.2954829573631287,0.0011852281079546903,6.657068384056637e-06,1,0,11
1,6,0.8961089253425598,0.9969089031219482,0.29610892534255984,0.2969089031219483,-0.00270163345621203,-0.008161281411043051,1,0,11
1,7,0.9964209198951721,1.0955718755722046,0.29642091989517216,0.29557187557220466,0.002864319843780822,0.010423171338922567,1,2,9
1,8,1.0959347486495972,1.1960476636886597,0.29593474864959723,0.29604766368865976,-0.0003815538377219085,-0.014980700571589825,2,3,7
1,9,1.1958037614822388,1.2982407808303833,0.29580376148223886,0.2982407808303834,-0.008238635424826675,-0.004667124438259452,1,1,10
