episode,step,cft_prev,cft_curr,delta_cft,reward_mean,dec_local,dec_rsu,dec_v2v
0,0,0.38473570346832275,0.46275684237480164,-0.20279152208420595,-0.17111320671116692,2,2,8
0,1,0.4577864408493042,0.5007542371749878,-0.09385991478028045,-0.13821551813923477,2,3,7
0,2,0.5020598769187927,0.598099410533905,-0.19129099541775677,-0.1969854116811052,3,1,8
0,3,0.5972693562507629,0.6975252628326416,-0.16785710757239372,-0.16673888734272801,0,1,11
0,4,0.698157012462616,0.7973163723945618,-0.14203017109601182,-0.14386197707584886,1,3,8
0,5,0.7972526550292969,0.8976696133613586,-0.12595374590301203,-0.12530515172664147,0,0,12
0,6,0.8977468609809875,1.0167080163955688,-0.13251080074464405,-0.11207984440979918,0,1,11
0,7,0.997054398059845,1.0986226797103882,-0.10186834524594003,-0.10024206657006947,0,2,10
0,8,1.0973981618881226,1.1980215311050415,-0.09169267154939639,-0.08998771150576003,1,1,10
0,9,1.1975034475326538,1.298201560974121,-0.08409004053303272,-0.0836574788616221,0,2,10
1,0,0.3654418885707855,0.4909372627735138,-0.34340719585685925,-0.32931135086336505,1,1,10
1,1,0.49885594844818115,0.5205536484718323,-0.04349492091083079,-0.8177556871507451,2,1,9
1,2,0.5080004334449768,0.5998424887657166,-0.1807912932237438,-0.11225643689215638,0,1,11
1,3,0.5980831980705261,0.7001090049743652,-0.17058798380055512,-0.16895769590355683,0,0,12
1,4,0.6959798336029053,0.7957517504692078,-0.14335460892567736,-0.14361359261694853,1,1,10
1,5,0.7958335876464844,0.8954829573631287,-0.1252138276939743,-0.1257116032113606,1,0,11
1,6,0.8961089253425598,0.9969089031219482,-0.11248630041359664,-0.11208549139862178,1,0,11
1,7,0.9964209198951721,1.0955718755722046,-0.0995070995573473,-0.09976105623483118,1,2,9
1,8,1.0959347486495972,1.1960476636886597,-0.09134933914854046,-0.09207365779475295,2,3,7
1,9,1.1958037614822388,1.2982407808303833,-0.08566373735199696,-0.08387423117988589,1,1,10
