episode,steps,elapsed_sec,reward_mode,seed,terminated,truncated,termination_reason,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,dT_mean,cft_prev_rem_mean,cft_curr_rem_mean,dt_used_mean,implied_dt_mean,dT_eff_mean,dT_eff_p95,energy_norm_mean,energy_norm_p95,t_tx_mean,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,300,3.527255058288574,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.338616371154785,,12,True,2.9365824509795027,1.5401113831629434,476990601.776103,12,12,142,-0.49810469150543213,-0.5000013113021851,-0.4999828338623047,-0.5000209808349609,-0.33803582191467285,0.49810473339633315,0.00021521677573548134,0.3391067907214075,0.33889157394567226,0.050000000000001855,0.05000000000000001,-0.04978478322426453,-0.04999828338622976,0.0005138023073707632,0.0,5.38982712953668e-05,15.000000000000078,0.00021521677573548134,1.7166137702417927e-06,0.33889157394567226,0.0,0.0,0.16901408450704225,1.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.4918344346806407,0.7725033760070801,0.5805394750620637,0.011857872290420346,0.15715680803571427,0.003931693508223232,1.9788059935838516,0.9817239093328161,4.085184149178011,0.5805394750620637,-0.5805394750620637,1.0,1.0,1.0,11.0,681029501.9677073,1.0,0.0,0.022514629432080848,0.005885238073958259,0.028399867506556584,True,-1.0,0.33889157394567226,0.0
2,300,3.561444044113159,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.240921974182129,,12,True,2.7850760841317346,1.1309143818780136,403668420.87005514,12,12,128,-0.49834737181663513,-0.5000019073486328,-0.4999828338623047,-0.5000209808349609,-0.2744629979133606,0.4983473549602287,0.00018759757280375933,0.24129329194624335,0.2411056943734394,0.050000000000001855,0.05000000000000001,-0.04981240242719625,-0.04999828338622976,0.00044666137652741076,0.0,4.364549705901028e-05,15.000000000000078,0.00018759757280375933,7.629394538355427e-07,0.2411056943734394,0.0,0.0,0.171875,1.0,0.0,0.0,0.5454545454545454,0.45454545454545453,0.0,0.5454545454545454,0.45454545454545453,0.0,0.5792157494209029,0.8524176478385925,0.5852421000599861,0.007197318744147196,0.09633091517857142,0.0036047070960713817,0.8687382685353181,0.42626899906567167,4.80557658390275,0.5852421000599861,-0.5852421000599861,1.0,1.0,0.99989898989899,10.998888888888887,596437205.0777682,1.0,0.0,0.021373721044925402,0.005528388725358518,0.026902109770671985,True,-1.0,0.2411056943734394,0.0
3,300,3.549406051635742,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.32882022857666,,12,True,2.950019682928325,1.3847785699669286,489981260.8522968,12,12,148,-0.49857768416404724,-0.5000019073486328,-0.49999237060546875,-0.5000209808349609,-0.20931363105773926,0.4985777248719698,0.0001462174455327429,0.32903228104113647,0.32888606359560385,0.050000000000001855,0.05,-0.04985378255446726,-0.04999923706054617,7.979865458915362e-05,0.0,1.688394021665815e-05,15.000000000000078,0.0001462174455327429,7.629394538355427e-07,0.32888606359560385,0.0,0.0,0.11486486486486487,1.0,0.0,0.0,0.7058823529411765,0.29411764705882354,0.0,0.7058823529411765,0.29411764705882354,0.0,0.3791254088282585,0.7956608533859253,0.586418588246618,0.005733673157270199,0.08014787946428571,-0.0008555813318318022,0.9638358969906611,0.4693339991915439,3.615810756837683,0.586418588246618,-0.586418588246618,1.0,1.0,0.9999747474747475,10.999722222222223,710702158.5565091,1.0,0.0,0.021228488752630295,0.005715537905115242,0.026944026658198363,True,-1.0,0.32888606359560385,0.0
4,300,3.4454078674316406,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.356465339660645,,12,True,3.2098606665535168,1.7456684547184949,449195294.60110044,12,12,135,-0.49716004729270935,-0.5000019073486328,-0.4999732971191406,-0.5000114440917969,-0.21055877208709717,0.4971600549945911,0.00031039237976100394,0.35726166248320684,0.35695127010344585,0.050000000000001855,0.05000000000000001,-0.049689607620239,-0.049997329711913355,0.0005279575843970538,0.0,6.297793381782644e-05,15.000000000000078,0.00031039237976100394,1.7166137702417927e-06,0.35695127010344585,0.0,0.0,0.2,1.0,0.0,0.0,0.4444444444444444,0.5555555555555556,0.0,0.4444444444444444,0.5555555555555556,0.0,0.4712025923309503,0.7353587746620178,0.583353614700692,0.006897183010421161,0.09507533482142858,-0.00165491766217331,1.1159258331504784,0.5446409241163305,4.054682704220925,0.583353614700692,-0.583353614700692,1.0,1.0,1.0,11.0,590770454.4399453,1.0,0.0,0.023702686913983986,0.005864029821552503,0.02956671673560111,True,-1.0,0.35695127010344585,0.0
5,300,3.3960680961608887,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.291790962219238,,12,True,3.0604308642312468,1.4027969867546661,399354527.9815734,12,12,114,-0.498024582862854,-0.5000019073486328,-0.49999237060546875,-0.5000114440917969,-0.2740538716316223,0.49802458799588173,0.00020993739366557574,0.292235341171414,0.29202540377774905,0.050000000000001855,0.05000000000000001,-0.04979006260633444,-0.04999923706054617,0.0002479238650698219,0.0,3.967942852304532e-05,15.000000000000078,0.00020993739366557574,7.629394538355427e-07,0.29202540377774905,0.0,0.0,0.14912280701754385,1.0,0.0,0.0,0.7058823529411765,0.29411764705882354,0.0,0.7058823529411765,0.29411764705882354,0.0,0.42453402061672774,0.6161631941795349,0.5850329319281238,0.005509673829822402,0.06243024553571429,-0.0015783076565380075,1.2016973962142532,0.5875697322189808,4.201890314130911,0.5850329319281238,-0.5850329319281238,1.0,1.0,0.9999747474747475,10.999722222222221,618772539.730962,1.0,0.0,0.024652814100027808,0.006179126223140475,0.030831940323685667,True,-1.0,0.29202540377774905,0.0
6,300,3.45438814163208,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.369717597961426,,12,True,3.1782272012067074,1.6667807674455952,449272922.4645794,12,12,133,-0.4981991946697235,-0.5000019073486328,-0.4999732971191406,-0.5000209808349609,-0.16315877437591553,0.49819920309993737,0.00021886100371704877,0.3701688485344164,0.36994998753069924,0.050000000000001855,0.05000000000000001,-0.04978113899628296,-0.049997329711913355,0.0007756262742105573,0.0,7.08364459946552e-05,15.000000000000078,0.00021886100371704877,1.7166137702417927e-06,0.36994998753069924,0.0,0.0,0.14285714285714285,1.0,0.0,0.0,0.631578947368421,0.3684210526315789,0.0,0.631578947368421,0.3684210526315789,0.0,0.5620536419906115,0.8174013495445251,0.583568271781717,0.004601985916711523,0.022321428571428572,-0.0019460867416845368,1.2138808781081545,0.5933229876016932,3.934736647909241,0.583568271781717,-0.583568271781717,1.0,1.0,1.0,11.0,577031860.3384792,1.0,0.0,0.023643674015043102,0.005901395144726827,0.02954506915964064,True,-1.0,0.36994998753069924,0.0
7,300,3.7014291286468506,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.282814025878906,,12,True,3.0013413083005465,1.3585726400925358,486889071.3300562,12,12,149,-0.4983672499656677,-0.4999995231628418,-0.4999828338623047,-0.5000209808349609,-0.29265403747558594,0.49836729216756886,0.00019438574711507932,0.2833172606428376,0.28312287489572247,0.050000000000001855,0.05000000000000001,-0.04980561425288493,-0.04999828338622976,0.000622299277434129,0.0,5.5821994398640334e-05,15.000000000000078,0.00019438574711507932,1.7166137702417927e-06,0.28312287489572247,0.0,0.0,0.18791946308724833,1.0,0.0,0.0,0.42857142857142855,0.5714285714285714,0.0,0.42857142857142855,0.5714285714285714,0.0,0.5141059373106275,0.8464067578315735,0.5789614373019764,0.007431555643311835,0.05531529017857143,0.0014037539908063731,1.2169402321534497,0.5982946450156825,3.9082081395068338,0.5789614373019764,-0.5789614373019764,1.0,1.0,1.0,11.0,623954281.0374668,1.0,0.0,0.02030628669161762,0.005644963278808689,0.02595124997081434,True,-1.0,0.28312287489572247,0.0
8,300,3.6087489128112793,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.300922393798828,,12,True,2.6914991875958214,1.2229548468465847,439886233.3568373,12,12,141,-0.4985176622867584,-0.5000007152557373,-0.4999828338623047,-0.5000209808349609,-0.31607121229171753,0.4985176458303352,0.00017164667447434241,0.30122297366459155,0.3010513269901177,0.050000000000001855,0.05000000000000001,-0.04982835332552567,-0.04999828338622976,0.00046822515015200873,0.0,4.1497704779003345e-05,15.000000000000078,0.00017164667447434241,1.7166137702417927e-06,0.3010513269901177,0.0,0.0,0.1347517730496454,1.0,0.0,0.0,0.631578947368421,0.3684210526315789,0.0,0.631578947368421,0.3684210526315789,0.0,0.4904896413025103,0.7465463876724243,0.5756423861852714,0.004103170202662503,0.03327287946428571,0.001658584752086816,1.1760485604006266,0.5781700191354113,3.8241621887843524,0.5756423861852714,-0.5756423861852714,1.0,1.0,1.0,11.0,652563611.7893653,1.0,0.0,0.02001960923488174,0.005343751818567328,0.025363361054483804,True,-1.0,0.3010513269901177,0.0
9,300,3.9587059020996094,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.297825813293457,,12,True,2.9892459954715114,1.3092792507294766,485382696.8797985,12,12,145,-0.4988442361354828,-0.4999995231628418,-0.49999237060546875,-0.5000209808349609,-0.2600681781768799,0.4988442485937523,0.00014870564142889156,0.298121239741633,0.29797253410020497,0.050000000000001855,0.05,-0.049851294358571115,-0.04999923706054617,0.0006626100160772553,0.0,6.531963800051012e-05,15.000000000000078,0.00014870564142889156,7.629394538355427e-07,0.29797253410020497,0.0,0.0,0.13793103448275862,1.0,0.0,0.0,0.6,0.4,0.0,0.6,0.4,0.0,0.5091075390577317,0.8620433807373047,0.5803367107042244,0.004821098792100591,0.04157366071428571,-0.0007225872707619731,1.186278183345816,0.580809767358005,3.758571941671627,0.5803367107042244,-0.5803367107042244,1.0,1.0,1.0,11.0,628802214.8518101,1.0,0.0,0.021529364001282233,0.005706810149957294,0.027236174151368905,True,-1.0,0.29797253410020497,0.0
10,300,3.645426034927368,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.257649421691895,,12,True,2.9831513028954704,1.431760919459257,411269450.77389914,12,12,121,-0.4964950680732727,-0.5000019073486328,-0.4999828338623047,-1.086176872253418,0.08254677057266235,0.49704536084667683,0.0004355499148371452,0.2593746931354119,0.2589391432205745,0.050000000000001855,0.05000000000000001,-0.049564450085162866,-0.04999828338622976,0.0017010963824558509,0.0,0.00020352016845792085,15.000000000000078,0.0004355499148371452,1.7166137702417927e-06,0.2589391432205745,0.0,0.0,0.34710743801652894,1.0,0.0,0.0,0.2857142857142857,0.7142857142857143,0.0,0.2857142857142857,0.7142857142857143,0.0,0.541361527073951,0.7543014287948608,0.5791576768138579,0.006667049799164358,0.07073102678571429,0.0025610763675233883,1.1714377989659883,0.5766968251472073,4.295393688338144,0.5791576768138579,-0.5791576768138579,1.0,1.0,1.0,11.0,597158341.7398361,1.0,0.0,0.024008036783853097,0.006103876127172613,0.030111912911607783,True,-1.0,0.2589391432205745,0.0
