episode,steps,elapsed_sec,seed,terminated,truncated,termination_reason,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,dT_mean,cft_prev_rem_mean,cft_curr_rem_mean,dCFT_abs_mean,dCFT_abs_p95,dCFT_rem_mean,dCFT_rem_p95,dt_used_mean,implied_dt_mean,dT_eff_mean,dT_eff_p95,energy_norm_mean,energy_norm_p95,t_tx_mean,reward_step_p95,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,200,3.5665781497955322,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,120,0.15112552046775818,1.8984084817930125e-05,1.526458501815796,1.8984084817930125e-05,4.521575450897217,0.15112552046775818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09011093950271606,-0.09011093950271606,-0.029137241840365327,0.01046701224707067,0.0,2.2636806801944583e-05,0.0,20.032719326019297,,,0.032719326019282846,0.9,0.9,0.9916666666666667,0.1,0.0,0.0,0.32231404958677684,0.3140495867768595,0.36363636363636365,0.32231404958677684,0.3140495867768595,0.36363636363636365,,,1.5590953604380289,0.011005957278733451,0.1296875,0.0030778813424209754,25.647476069132487,0.37623546451330186,0.4318896305561066,1.5590953604380289,-1.5590953604380289,1.0,1.0,1.0,5.0,112829966.75456272,1.0,0.0,,,,True,-1.0,0.032719326019282846,0.0
2,200,3.570847988128662,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,120,0.1420162320137024,3.952822953579016e-05,1.5039663314819336,-0.00285150995478034,4.529446125030518,0.14204473793506622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091441631436348,-0.091441631436348,-0.02605632406473569,0.010052559278905391,0.0,3.164760435135896e-05,0.0,20.080315017700208,,,0.08031501770019389,0.9,0.9,0.9833333333333333,0.1,0.0,0.0,0.29838709677419356,0.33064516129032256,0.3709677419354839,0.29838709677419356,0.33064516129032256,0.3709677419354839,,,1.5521874539057414,0.012324584075249731,0.08583333333333333,-0.0006309638048211734,11.302307732899983,0.1032837719283998,0.43797356565793355,1.5521874539057414,-1.5521874539057414,1.0,1.0,0.9997499999999999,4.99875,120362051.81153792,1.0,0.0,,,,True,-1.0,0.08031501770019389,0.0
3,200,3.6052348613739014,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,123,0.11994391679763794,8.315428567584604e-05,0.8043984174728394,-0.9999168515205383,3.594764471054077,0.1391720175743103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0901186949312687,-0.0901186949312687,0.06970989322662327,0.01105738009698689,0.0,5.720848097470293e-05,0.0,20.104940509796155,,,0.10494050979614045,0.75,0.75,0.959349593495935,0.25,0.0,0.0,0.23140495867768596,0.36363636363636365,0.4049586776859504,0.23140495867768596,0.36363636363636365,0.4049586776859504,,,1.5436552556355794,0.01021443009376526,0.10916666666666666,-0.0032884688302874565,13.203992481231689,0.08537788243343433,0.4309784523646037,1.5436552556355794,-1.5436552556355794,1.0,1.0,0.9874999999999996,4.93750000000001,108765156.03243951,1.0,0.0,,,,True,-1.0,0.10494050979614045,0.0
4,200,3.612318992614746,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,114,0.1336374282836914,5.311561835696921e-05,1.5042773485183716,-0.9979450702667236,3.622195243835449,0.15337587893009186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08928589344024658,-0.08928589344024658,-0.024354949474335644,0.012639392476528883,0.0,4.277727915296865e-05,0.0,20.088036060333263,,,0.0880360603332484,0.85,0.85,0.9736842105263158,0.15,0.0,0.0,0.1282051282051282,0.49572649572649574,0.37606837606837606,0.1282051282051282,0.49572649572649574,0.37606837606837606,,,1.589781943957011,0.009070700832332175,0.12223958333333333,-0.0018689038728674254,9.611627038319906,0.06046684628352523,0.4251550521453222,1.589781943957011,-1.589781943957011,1.0,1.0,0.99995,4.999750000000001,123082125.40659541,1.0,0.0,,,,True,-1.0,0.0880360603332484,0.0
5,200,3.67192006111145,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,122,0.13541099429130554,5.468245581141673e-05,1.5389448404312134,-0.9987980723381042,3.155421733856201,0.15422239899635315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08862864542007448,-0.08862864542007448,-0.007983218550683228,0.012411708640633151,0.0,3.3073449699633786e-05,0.0,20.140868282318127,,,0.1408682823181131,0.85,0.85,0.9754098360655737,0.15,0.0,0.0,0.1721311475409836,0.319672131147541,0.5081967213114754,0.1721311475409836,0.319672131147541,0.5081967213114754,,,1.6337719122568766,0.022425184827297925,0.16911458333333335,-0.0034211427097519237,6.743035297393799,0.0407291467829297,0.4410641131798426,1.6337719122568766,-1.6337719122568766,1.0,1.0,0.9983500000000001,4.99175,111709225.1166651,1.0,0.0,,,,True,-1.0,0.1408682823181131,0.0
6,200,3.726179838180542,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,119,0.14684967696666718,7.390139217022806e-05,1.5673489570617676,-0.999879777431488,3.2663066387176514,0.1568484753370285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08944553017616272,-0.08944553017616272,-0.023020901918420305,0.013413201671093703,0.0,6.013097351487777e-05,0.0,20.171220302581798,,,0.17122030258178356,0.9,0.9,0.957983193277311,0.1,0.0,0.0,0.1016949152542373,0.5254237288135594,0.3728813559322034,0.1016949152542373,0.5254237288135594,0.3728813559322034,,,1.6530499458312988,0.011021725318084161,0.11057291666666667,-0.0010220830142498017,9.147005300521851,0.05995651018495361,0.5907871339718501,1.6530499458312988,-1.6530499458312988,1.0,1.0,1.0,5.0,108762968.72058088,1.0,0.0,,,,True,-1.0,0.17122030258178356,0.0
7,200,3.618774890899658,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,118,0.16005590558052063,1.483297091908753e-05,1.5622857809066772,-0.02148612029850483,7.510888576507568,0.16027076542377472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08809811162948611,-0.08809811162948611,0.00034149551391445367,0.013338994275778532,0.0,4.605706750899927e-05,0.0,20.065273380279553,,,0.06527338027953888,0.95,0.95,0.9915254237288136,0.05,0.0,0.0,0.12605042016806722,0.5294117647058824,0.3445378151260504,0.12605042016806722,0.5294117647058824,0.3445378151260504,,,1.619408006668091,0.011674908949062228,0.0975,-0.004504850041121245,3.62507674853007,0.012862241271262368,0.3593287646770477,1.619408006668091,-1.619408006668091,1.0,1.0,0.9999000000000001,4.9995,112405759.76421832,1.0,0.0,,,,True,-1.0,0.06527338027953888,0.0
8,200,3.6932170391082764,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,127,0.1622505635023117,0.0,1.5777003765106201,0.0,4.50648832321167,0.1622505635023117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08908842682838443,-0.08908842682838443,-0.01005685919523263,0.01497641784325242,0.0,4.4374175797973e-05,0.0,20.00000000000001,,,0.0,0.9,0.9,1.0,0.1,0.0,0.0,0.11811023622047244,0.5511811023622047,0.33070866141732286,0.11811023622047244,0.5511811023622047,0.33070866141732286,,,1.67391889890035,0.01743994578719139,0.14932291666666667,-0.007767719545712074,2.0880832918485006,0.0014682679995894432,0.33859223862489063,1.67391889890035,-1.67391889890035,1.0,1.0,1.0,5.0,130360520.74982493,1.0,0.0,,,,True,-1.0,0.0,0.0
9,200,3.775873899459839,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,108,0.1378599852323532,1.4226337953004986e-05,0.565276563167572,-0.9173449873924255,5.036882400512695,0.1470334380865097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09148719476461412,-0.09148719476461412,-0.013260765314102616,0.012713801352307201,0.0,2.7252417650950495e-05,0.0,20.019161128997816,,,0.019161128997801313,0.85,0.85,0.9814814814814815,0.15,0.0,0.0,0.08411214953271028,0.5700934579439252,0.34579439252336447,0.08411214953271028,0.5700934579439252,0.34579439252336447,,,1.6416695229212444,0.01668066644730667,0.14802083333333332,-0.0075882114097476005,3.802435792287191,0.011309767582764228,0.40451235632101695,1.6416695229212444,-1.6416695229212444,1.0,1.0,1.0,5.0,122257156.95580882,1.0,0.0,,,,True,-1.0,0.019161128997801313,0.0
10,200,3.887070894241333,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,116,0.15503162145614624,2.7672598662320524e-05,0.4363986849784851,-0.8751970529556274,4.549771308898926,0.16378356516361237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0905907075405121,-0.0905907075405121,-0.02371356630325746,0.014659086285158992,0.0,5.4898435357407116e-05,0.0,20.030085182189953,,,0.030085182189939275,0.95,0.95,0.9913793103448276,0.05,0.0,0.0,0.09166666666666666,0.5083333333333333,0.4,0.09166666666666666,0.5083333333333333,0.4,,,1.6205158472061156,0.007468883600085974,0.10505208333333334,-0.004814180520673593,2.191474461555481,0.005640249500672023,0.3887738080819448,1.6205158472061156,-1.6205158472061156,1.0,1.0,1.0,5.0,106345492.17639904,1.0,0.0,,,,True,-1.0,0.030085182189939275,0.0
