stage,episodes,value_clip_range,min_active_samples,reward_mean_mean,reward_mean_std,value_loss_mean,value_loss_std,policy_loss_mean,policy_loss_std,value_clip_fraction_mean,value_clip_fraction_std,skipped_update_ratio_mean,skipped_update_ratio_std,active_ratio_mean,active_ratio_std,active_samples_mean_mean,active_samples_mean_std,active_samples_p10_mean,active_samples_p10_std,active_samples_p50_mean,active_samples_p50_std,nan_inf_runs,elapsed_sec_mean
1,10,0.2,64,0.1397872097790241,0.0,12.03792291191247,0.0,-0.02293691738801249,0.0,0.8158719665888731,0.0,0.0,0.0,0.030475000000000002,0.0,121.9,0.0,114.8,0.0,122.5,0.0,0,94.56077790260315
1,10,0.2,96,0.13987798541784283,0.0,13.58900971945127,0.0,-0.01758588589941303,0.0,0.8411854798297087,0.0,0.0,0.0,0.0305,0.0,122.0,0.0,115.9,0.0,122.0,0.0,0,98.61685919761658
1,10,0.2,128,0.13280716985464092,0.0,2.2166731559435524,0.0,-0.00606514466895412,0.0,0.2564016688764095,0.0,0.7,0.0,0.030525000000000004,0.0,122.1,0.0,112.6,0.0,122.0,0.0,0,63.46499300003052
1,10,0.3,64,0.14109010398387906,0.0,16.114514165321985,0.0,-0.02492698839962633,0.0,0.7727249726206064,0.0,0.0,0.0,0.030800000000000004,0.0,123.2,0.0,117.3,0.0,123.0,0.0,0,104.3557620048523
1,10,0.3,96,0.1340402983129024,0.0,7.578260554472605,0.0,-0.00714869246988867,0.0,0.7538740351398786,0.0,0.0,0.0,0.029324999999999997,0.0,117.3,0.0,110.6,0.0,117.0,0.0,0,103.30224204063416
1,10,0.3,128,0.1360418394207954,0.0,2.241976301352183,0.0,-0.005143232127962009,0.0,0.15566825395822526,0.0,0.8,0.0,0.029725,0.0,118.9,0.0,113.7,0.0,118.0,0.0,0,63.96680784225464
1,10,0.4,64,0.15456126928329467,0.0,6.189057861447334,0.0,0.0006362753003680413,0.0,0.7939430720508098,0.0,0.0,0.0,0.030500000000000006,0.0,122.0,0.0,114.6,0.0,122.0,0.0,0,110.14976096153259
1,10,0.4,96,0.1345568925142288,0.0,6.293439617338482,0.0,-0.020990585426506253,0.0,0.6984176901835311,0.0,0.0,0.0,0.029700000000000004,0.0,118.8,0.0,101.8,0.0,122.0,0.0,0,108.03390097618103
1,10,0.4,128,0.13503344804048537,0.0,2.3600133485794066,0.0,-0.00449040368633964,0.0,0.14724237623810768,0.0,0.8,0.0,0.030574999999999998,0.0,122.3,0.0,111.9,0.0,122.0,0.0,0,68.18633484840393
